pride_id,product_id,site,price
1,1,amazon,66990
2,2,flipkart,55999
3,3,reliancedigital,66990
4,4,amazon,55998
5,5,flipkart,55999
6,6,reliancedigital,59999
7,7,amazon,54998
8,8,flipkart,49999
9,9,reliancedigital,54999
10,10,amazon,73999
11,11,flipkart,78619
12,12,reliancedigital,109999
13,13,amazon,64900
14,14,flipkart,49999
15,15,reliancedigital,64999
16,16,amazon,16999
17,17,flipkart,16999
18,18,reliancedigital,16999
19,19,amazon,39999
20,20,flipkart,73999
21,21,reliancedigital,68899
22,22,amazon,47999
23,23,flipkart,57549
24,24,reliancedigital,55408
25,25,amazon,26990
26,26,croma,25999
27,27,relianceigital,25999
28,28,motorola,22999
29,29,flipkart,21999
30,30,shopsy,21999
31,31,amazon,62990
32,32,flipkart,66899
33,33,reliancedigital,64990
34,34,amazon,49000
35,35,flipkart,49890
36,36,reliancedigital,54990
37,37,amazon,40990
38,38,flipkart,39990
39,39,croma,45490
40,40,amazon,40985
41,41,flipkart,44999
42,42,shopsy,44999
43,43,amazon,71354
44,44,flipkart,64999
45,45,reliancedigital,78900
46,46,amazon,1299
47,47,flipkart,1299
48,48,reliancedigital,1299
49,49,amazon,19980
50,50,flipkart,19980
51,51,shopsy,19980
52,52,amazon,4499
53,53,flipkart,4999
54,54,reliancedigital,4999
55,55,amazon,45989
56,56,flipkart,6299
57,57,shopsy,6299
58,58,amazon,899
59,59,flipkart,899
60,60,shopsy,899
61,61,amazon,799
62,62,flipkart,799
63,63,shopsy,799
64,64,amazon,5299
65,65,flipkart,5299
66,66,reliancedigital,5299
67,67,amazon,17999
68,68,flipkart,18999
69,69,reliancedigital,19999
70,70,amazon,2799
71,71,reliancedigital,2799
72,72,croma,2999
73,73,amazon,1999
74,74,flipkart,1999
75,75,reliancedigital,1999
76,76,amazon,1399
77,77,flipkart,1399
78,78,shopsy,1799
79,79,amazon,1299
80,80,flipkart,1299
81,81,shopsy,1299
82,82,amazon,2089
83,83,flipkart,2089
84,84,shopsy,2089
85,85,amazon,999
86,86,flipkart,999
87,87,shopsy,999
88,88,amazon,679
89,89,flipkart,550
90,90,shopsy,550
91,91,amazon,37990
92,92,flipkart,40990
93,93,shopsy,40990
94,94,amazon,28990
95,95,flipkart,28990
96,96,shopsy,28990
97,97,amazon,14490
98,98,flipkart,14460
99,99,shopsy,14460
100,100,amazon,33990
101,101,flipkart,33990
102,102,reliancedigital,37690
103,103,amazon,37900
104,104,flipkart,39490
105,105,shopsy,39490
106,106,flipkart,13000
107,107,shopsy,13000
108,108,reliancedigital,11999
109,109,amazon,5759
110,110,flipkart,6981
111,111,reliancedigital,6499
112,112,amazon,5749
113,113,flipkart,5684
114,114,shopsy,5749
115,115,amazon,5599
116,116,flipkart,5199
117,117,shopsy,5199
118,118,amazon,7150
119,119,flipkart,6995
120,120,shopsy,6995
121,121,amazon,4825
122,122,flipkart,5645
123,123,shopsy,5645
124,124,amazon,4021
125,125,flipkart,4245
126,126,reliancedigital,3956
127,127,amazon,2999
128,128,flipkart,2847
129,129,shopsy,2847
130,130,amazon,4825
131,131,flipkart,5095
132,132,shopsy,5049
133,133,amazon,14869
134,134,flipkart,16620
135,135,reliancedigital,14871
136,136,amazon,9999
137,137,flipkart,9999
138,138,shopsy,9999
139,139,amazon,13999
140,140,flipkart,12999
141,141,croma,13999
142,142,amazon,16999
143,143,flipkart,16999
144,144,shopsy,16999
145,145,amazon,7999
146,146,flipkart,7999
147,147,shopsy,7999
148,148,amazon,16499
149,149,flipkart,16499
150,150,shopsy,16499
151,151,amazon,4999
152,152,flipkart,4699
153,153,shopsy,4699
154,154,amazon,4999
155,155,flipkart,4999
156,156,shopsy,4999
157,157,amazon,7499
158,158,flipkart,7499
159,159,shopsy,7499
160,160,amazon,2269
161,161,flipkart,2219
162,162,shopsy,2219
163,163,amazon,9796
164,164,flipkart,9490
165,165,shopsy,9490
166,166,amazon,14248
167,167,flipkart,14249
168,168,shopsy,14249
169,169,amazon,13499
170,170,flipkart,12499
171,171,shopsy,12499
172,172,amazon,28298
173,173,flipkart,35549
174,174,shopsy,35549
175,175,amazon,15298
176,176,flipkart,15299
177,177,shopsy,15299
178,178,amazon,9990
179,179,flipkart,9690
180,180,shopsy,9999
181,181,amazon,55990
182,182,flipkart,62500
183,183,reliancedigital,55990
184,184,amazon,43990
185,185,flipkart,41990
186,186,shopsy,41990
187,187,amazon,26990
188,188,flipkart,26990
189,189,shopsy,26990
190,190,amazon,19999
191,191,flipkart,19999
192,192,croma,19999
193,193,amazon,31999
194,194,flipkart,31999
195,195,shopsy,31999
196,196,amazon,8499
197,197,flipkart,8499
198,198,reliancedigital,13499
199,199,amazon,11290
200,200,flipkart,10290
201,201,shopsy,17760
202,202,amazon,18399
203,203,flipkart,17899
204,204,shopsy,17899
205,205,amazon,11199
206,206,flipkart,12299
207,207,shopsy,12299
208,208,amazon,7805
209,209,flipkart,7805
210,210,shopsy,7805
211,211,amazon,2399
212,212,flipkart,2399
213,213,shopsy,2399
214,214,amazon,1239
215,215,flipkart,1139
216,216,shopsy,1139
217,217,amazon,1499
218,218,flipkart,1399
219,219,reliancedigital,2299
220,220,amazon,698
221,221,flipkart,698
222,222,reliancedigital,899
223,223,amazon,899
224,224,flipkart,1509
225,225,shopsy,1509
226,226,amazon,499
227,227,flipkart,729
228,228,reliancedigital,1499
229,229,amazon,299
230,230,flipkart,501
231,231,croma,329
232,232,amazon,2195
233,233,flipkart,2731
234,234,croma,3142
235,235,amazon,569
236,236,flipkart,519
237,237,croma,699
238,238,amazon,1199
239,239,flipkart,1249
240,240,shopsy,1249
241,241,amazon,8999
242,242,flipkart,8999
243,243,shopsy,8999
244,244,amazon,899
245,245,flipkart,899
246,246,shopsy,899
247,247,amazon,1599
248,248,flipkart,1704
249,249,shopsy,1704
250,250,amazon,1879
251,251,flipkart,2296
252,252,shopsy,2296
253,253,amazon,2290
254,254,flipkart,2648
255,255,shopsy,2695
256,256,amazon,799
257,257,flipkart,1305
258,258,shopsy,1305
259,259,amazon,330
260,260,flipkart,503
261,261,shopsy,503
262,262,amazon,799
263,263,flipkart,1305
264,264,shopsy,1305
265,265,amazon,338
266,266,flipkart,498
267,267,shopsy,498
268,268,amazon,1599
269,269,flipkart,1307
270,270,shopsy,1307
271,271,amazon,1899
272,272,flipkart,1899
273,273,croma,1899
274,274,amazon,4299
275,275,flipkart,4299
276,276,shopsy,4299
277,277,amazon,679
278,278,flipkart,1026
279,279,shopsy,1099
280,280,amazon,1499
281,281,flipkart,1499
282,282,shopsy,1499
283,283,amazon,1899
284,284,flipkart,1199
285,285,reliancedigital,1419
286,286,amazon,25990
287,287,flipkart,25990
288,288,shopsy,25990
289,289,amazon,24990
290,290,flipkart,22790
291,291,shopsy,22790
292,292,amazon,24990
293,293,flipkart,24990
294,294,shopsy,24990
295,295,amazon,19990
296,296,flipkart,19990
297,297,reliancedigital,21690
298,298,amazon,15990
299,299,flipkart,15990
300,300,shopsy,15990
301,301,amazon,598
302,302,flipkart,666
303,303,shopsy,666
304,304,amazon,799
305,305,flipkart,799
306,306,shopsy,799
307,307,amazon,839
308,308,flipkart,839
309,309,shopsy,839
310,310,amazon,646
311,311,flipkart,646
312,312,shopsy,646
313,313,amazon,2449
314,314,flipkart,2499
315,315,reliancedigital,2999
316,316,amazon,597
317,317,flipkart,636
318,318,shopsy,636
319,319,amazon,599
320,320,flipkart,799
321,321,shopsy,799
322,322,amazon,5500
323,323,flipkart,5765
324,324,shopsy,6069
325,325,amazon,3458
326,326,flipkart,3451
327,327,shopsy,3633
328,328,amazon,223
329,329,flipkart,330
330,330,shopsy,274
331,331,amazon,1499
332,332,flipkart,1499
333,333,shopsy,1499
334,334,amazon,1099
335,335,flipkart,1099
336,336,croma,1099
337,337,amazon,999
338,338,flipkart,1680
339,339,reliancedigital,999
340,340,amazon,2699
341,341,flipkart,2699
342,342,croma,2699
343,343,amazon,9750
344,344,flipkart,9750
345,345,reliancedigital,12995
