product_id,suggestion_1,suggestion_2
1,2,5
2,2,5
3,2,5
4,3,4
5,3,4
6,3,4
7,1,2
8,1,2
9,1,2
10,3,5
11,3,5
12,3,5
13,4,1
14,4,1
15,4,1
16,10,9
17,10,9
18,10,9
19,6,8
20,6,8
21,6,8
22,9,7
23,9,7
24,9,7
25,10,6
26,10,6
27,10,6
28,7,8
29,7,8
30,7,8
31,12,13
32,12,13
33,12,13
34,11,15
35,11,15
36,11,15
37,12,14
38,12,14
39,12,14
40,11,15
41,11,15
42,11,15
43,13,14
44,13,14
45,13,14
46,17,18
47,17,18
48,17,18
49,19,20
50,19,20
51,19,20
52,16,17
53,16,17
54,16,17
55,18,20
56,18,20
57,18,20
58,19,16
59,19,16
60,19,16
61,22,23
62,22,23
63,22,23
64,24,25
65,24,25
66,24,25
67,21,22
68,21,22
69,21,22
70,25,23
71,25,23
72,25,23
73,21,24
74,21,24
75,21,24
76,27,28
77,27,28
78,27,28
79,29,30
80,29,30
81,29,30
82,26,27
83,26,27
84,26,27
85,30,28
86,30,28
87,30,28
88,29,26
89,29,26
90,29,26
91,32,33
92,32,33
93,32,33
94,34,35
95,34,35
96,34,35
97,31,32
98,31,32
99,31,32
100,33,35
101,33,35
102,33,35
103,31,34
104,31,34
105,31,34
106,37,38
107,37,38
108,37,38
109,39,40
110,39,40
111,39,40
112,36,37
113,36,37
114,36,37
115,40,36
116,40,36
117,40,36
118,39,38
119,39,38
120,39,38
121,42,43
122,42,43
123,42,43
124,44,45
125,44,45
126,44,45
127,41,44
128,41,44
129,41,44
130,42,45
131,42,45
132,42,45
133,41,43
134,41,43
135,41,43
136,47,48
137,47,48
138,47,48
139,49,50
140,49,50
141,49,50
142,46,49
143,46,49
144,46,49
145,48,50
146,48,50
147,48,50
148,46,47
149,46,47
150,46,47
151,52,53
152,52,53
153,52,53
154,54,55
155,54,55
156,54,55
157,51,55
158,51,55
159,51,55
160,52,51
161,52,51
162,52,51
163,54,53
164,54,53
165,54,53
166,57,58
167,57,58
168,57,58
169,59,60
170,59,60
171,59,60
172,56,59
173,56,59
174,56,59
175,57,60
176,57,60
177,57,60
178,59,56
179,59,56
180,59,56
181,62,63
182,62,63
183,62,63
184,64,65
185,64,65
186,64,65
187,61,64
188,61,64
189,61,64
190,63,65
191,63,65
192,63,65
193,61,62
194,61,62
195,61,62
196,67,68
197,67,68
198,67,68
199,69,70
200,69,70
201,69,70
202,66,70
203,66,70
204,66,70
205,69,67
206,69,67
207,69,67
208,68,66
209,68,66
210,68,66
211,72,73
212,72,73
213,72,73
214,74,75
215,74,75
216,74,75
217,71,74
218,71,74
219,71,74
220,72,75
221,72,75
222,72,75
223,74,71
224,74,71
225,74,71
226,77,78
227,77,78
228,77,78
229,79,80
230,79,80
231,79,80
232,76,79
233,76,79
234,76,79
235,78,80
236,78,80
237,78,80
238,76,77
239,76,77
240,76,77
241,82,83
242,82,83
243,82,83
244,84,85
245,84,85
246,84,85
247,81,84
248,81,84
249,81,84
250,82,85
251,82,85
252,82,85
253,83,84
254,83,84
255,83,84
256,87,88
257,87,88
258,87,88
259,89,90
260,89,90
261,89,90
262,86,89
263,86,89
264,86,89
265,90,87
266,90,87
267,90,87
268,86,88
269,86,88
270,86,88
271,92,93
272,92,93
273,92,93
274,94,95
275,94,95
276,94,95
277,91,94
278,91,94
279,91,94
280,92,95
281,92,95
282,92,95
283,91,93
284,91,93
285,91,93
286,97,98
287,97,98
288,97,98
289,99,100
290,99,100
291,99,100
292,96,99
293,96,99
294,96,99
295,98,100
296,98,100
297,98,100
298,96,97
299,96,97
300,96,97
301,102,103
302,102,103
303,102,103
304,104,105
305,104,105
306,104,105
307,101,104
308,101,104
309,101,104
310,105,102
311,105,102
312,105,102
313,103,101
314,103,101
315,103,101
316,107,108
317,107,108
318,107,108
319,109,110
320,109,110
321,109,110
322,106,109
323,106,109
324,106,109
325,108,110
326,108,110
327,108,110
328,106,107
329,106,107
330,106,107
331,112,113
332,112,113
333,112,113
334,114,115
335,114,115
336,114,115
337,111,114
338,111,114
339,111,114
340,113,115
341,113,115
342,113,115
343,112,111
344,112,111
345,112,111
